iter	Passed	Remaining
0	147	147674
1	152	75926
2	156	51890
3	160	39938
4	164	32678
5	167	27821
6	172	24463
7	175	21776
8	177	19596
9	180	17835
10	181	16362
11	184	15154
12	185	14104
13	187	13184
14	188	12378
15	189	11681
16	191	11061
17	192	10501
18	193	10001
19	195	9555
20	196	9147
21	197	8769
22	198	8430
23	199	8129
24	201	7839
25	202	7569
26	203	7316
27	204	7081
28	204	6861
29	205	6657
30	206	6465
31	207	6283
32	208	6116
33	209	5956
34	210	5806
35	211	5663
36	212	5527
37	213	5407
38	214	5288
39	215	5172
40	216	5062
41	217	4957
42	218	4856
43	219	4762
44	220	4670
45	221	4585
46	221	4501
47	222	4420
48	223	4343
49	224	4269
50	225	4199
51	226	4131
52	227	4067
53	228	4007
54	229	3945
55	230	3886
56	231	3828
57	232	3773
58	233	3719
59	234	3666
60	234	3616
61	235	3567
62	236	3520
63	237	3475
64	238	3431
65	239	3388
66	240	3346
67	240	3300
68	241	3261
69	242	3224
70	243	3187
71	244	3151
72	245	3115
73	246	3080
74	247	3047
75	247	3014
76	248	2982
77	249	2951
78	250	2920
79	251	2890
80	252	2860
81	253	2832
82	253	2805
83	254	2778
84	255	2748
85	256	2725
86	256	2696
87	257	2673
88	258	2650
89	259	2626
90	260	2603
91	261	2580
92	262	2558
93	263	2537
94	264	2515
95	264	2494
96	265	2474
97	266	2454
98	267	2435
99	268	2416
100	269	2398
101	270	2377
102	270	2359
103	271	2341
104	272	2325
105	273	2308
106	274	2291
107	275	2274
108	276	2258
109	277	2242
110	278	2226
111	278	2211
112	279	2195
113	280	2180
114	281	2165
115	282	2149
116	282	2135
117	283	2122
118	284	2109
119	286	2097
120	286	2084
121	288	2072
122	288	2057
123	289	2045
124	290	2033
125	291	2022
126	292	2010
127	293	1996
128	293	1984
129	294	1972
130	295	1961
131	296	1949
132	297	1938
133	298	1928
134	299	1917
135	300	1906
136	301	1896
137	301	1885
138	302	1875
139	303	1866
140	304	1857
141	305	1847
142	306	1837
143	307	1828
144	308	1818
145	309	1809
146	310	1800
147	311	1791
148	311	1781
149	313	1774
150	313	1765
151	314	1756
152	315	1747
153	316	1739
154	317	1731
155	318	1723
156	319	1716
157	320	1708
158	321	1699
159	322	1691
160	323	1683
161	323	1675
162	324	1667
163	325	1660
164	326	1652
165	327	1645
166	328	1637
167	329	1630
168	330	1622
169	330	1615
170	331	1608
171	332	1601
172	333	1594
173	334	1587
174	335	1580
175	336	1573
176	336	1566
177	337	1560
178	338	1553
179	339	1546
180	340	1538
181	341	1532
182	341	1526
183	342	1520
184	343	1513
185	344	1507
186	345	1501
187	346	1495
188	347	1489
189	348	1483
190	348	1477
191	349	1471
192	350	1465
193	351	1460
194	352	1454
195	353	1449
196	354	1443
197	355	1438
198	356	1432
199	356	1427
200	357	1422
201	358	1416
202	359	1410
203	360	1405
204	361	1400
205	361	1394
206	362	1389
207	363	1384
208	364	1379
209	365	1374
210	366	1369
211	367	1364
212	367	1359
213	368	1354
214	369	1350
215	370	1345
216	371	1340
217	372	1335
218	373	1330
219	374	1326
220	374	1321
221	375	1316
222	376	1312
223	377	1307
224	378	1303
225	379	1298
226	380	1294
227	380	1289
228	381	1285
229	382	1280
230	383	1277
231	384	1273
232	385	1270
233	386	1266
234	387	1261
235	388	1257
236	389	1253
237	390	1249
238	391	1245
239	391	1241
240	392	1237
241	393	1233
242	394	1229
243	395	1225
244	396	1221
245	397	1217
246	398	1214
247	399	1210
248	400	1206
249	400	1202
250	401	1198
251	402	1195
252	403	1191
253	404	1187
254	405	1183
255	406	1180
256	406	1176
257	407	1172
258	408	1169
259	409	1165
260	410	1162
261	411	1158
262	412	1155
263	413	1151
264	413	1148
265	414	1144
266	415	1141
267	416	1137
268	417	1134
269	418	1130
270	419	1127
271	420	1124
272	420	1120
273	421	1117
274	422	1114
275	423	1110
276	424	1107
277	425	1104
278	426	1101
279	427	1098
280	427	1094
281	428	1091
282	429	1088
283	430	1085
284	431	1082
285	432	1078
286	432	1075
287	433	1072
288	434	1069
289	435	1066
290	436	1063
291	437	1060
292	438	1057
293	439	1054
294	440	1052
295	441	1049
296	442	1046
297	442	1043
298	443	1040
299	444	1037
300	445	1034
301	446	1031
302	447	1028
303	448	1025
304	448	1023
305	449	1020
306	450	1017
307	451	1014
308	452	1011
309	453	1009
310	454	1006
311	455	1004
312	456	1001
313	456	998
314	457	995
315	458	993
316	459	990
317	460	987
318	461	984
319	462	982
320	462	979
321	463	976
322	464	973
323	465	971
324	466	968
325	467	966
326	468	963
327	469	961
328	470	958
329	470	956
330	471	953
331	472	951
332	473	948
333	474	945
334	475	943
335	476	940
336	476	938
337	477	935
338	478	933
339	479	930
340	480	928
341	481	926
342	482	923
343	483	921
344	484	918
345	484	916
346	485	914
347	486	911
348	487	909
349	488	906
350	489	904
351	490	902
352	490	899
353	491	897
354	492	895
355	493	893
356	494	890
357	495	888
358	496	886
359	497	883
360	498	881
361	498	879
362	499	876
363	500	874
364	501	872
365	502	870
366	503	868
367	504	865
368	505	863
369	505	861
370	506	859
371	507	856
372	508	854
373	509	852
374	510	850
375	511	848
376	512	847
377	513	845
378	514	842
379	515	840
380	516	838
381	517	836
382	517	834
383	518	832
384	519	830
385	520	828
386	521	826
387	522	823
388	523	821
389	524	819
390	525	818
391	526	816
392	527	814
393	527	812
394	528	810
395	529	807
396	530	805
397	531	803
398	532	801
399	533	799
400	533	797
401	534	795
402	535	793
403	536	791
404	537	789
405	538	787
406	539	785
407	540	784
408	541	782
409	542	780
410	542	778
411	543	776
412	544	774
413	545	772
414	546	770
415	547	768
416	548	766
417	549	764
418	550	762
419	550	760
420	551	758
421	552	757
422	553	755
423	554	753
424	555	751
425	556	749
426	557	747
427	558	746
428	559	744
429	559	742
430	560	740
431	561	738
432	562	736
433	563	734
434	564	732
435	565	730
436	565	729
437	566	727
438	568	725
439	568	724
440	569	722
441	570	720
442	571	718
443	572	716
444	573	715
445	574	713
446	575	711
447	576	709
448	576	708
449	577	706
450	578	704
451	579	702
452	580	701
453	581	699
454	582	698
455	583	696
456	584	694
457	585	692
458	586	691
459	587	689
460	588	687
461	589	685
462	589	684
463	590	682
464	591	680
465	592	678
466	593	677
467	594	675
468	595	673
469	596	672
470	597	670
471	597	668
472	598	667
473	599	665
474	603	667
475	604	665
476	605	663
477	606	662
478	607	660
479	608	658
480	608	657
481	610	655
482	611	654
483	612	652
484	613	650
485	613	649
486	614	647
487	615	645
488	616	644
489	617	642
490	618	641
491	619	639
492	620	637
493	621	636
494	622	634
495	622	632
496	624	631
497	624	629
498	625	628
499	626	626
500	627	625
501	628	623
502	629	621
503	630	620
504	631	618
505	631	616
506	632	615
507	633	613
508	634	611
509	635	610
510	636	608
511	636	607
512	638	606
513	639	604
514	640	603
515	641	601
516	642	600
517	643	598
518	644	596
519	644	595
520	645	593
521	646	592
522	647	590
523	648	589
524	649	587
525	650	585
526	651	584
527	652	582
528	653	581
529	653	579
530	654	578
531	655	576
532	656	575
533	657	573
534	658	572
535	659	570
536	659	568
537	660	567
538	661	565
539	662	564
540	663	562
541	664	561
542	664	559
543	665	558
544	666	556
545	667	555
546	668	553
547	669	552
548	670	550
549	671	549
550	672	547
551	672	546
552	673	544
553	674	543
554	675	541
555	676	540
556	677	538
557	678	537
558	678	535
559	679	534
560	680	532
561	681	531
562	682	529
563	683	528
564	684	526
565	685	525
566	686	523
567	686	522
568	687	520
569	688	519
570	689	518
571	690	516
572	691	515
573	691	513
574	692	512
575	693	510
576	694	509
577	695	507
578	696	506
579	697	504
580	698	503
581	699	502
582	699	500
583	700	499
584	701	497
585	702	496
586	703	494
587	704	493
588	705	491
589	705	490
590	706	489
591	707	487
592	708	486
593	709	485
594	710	483
595	711	482
596	712	480
597	713	479
598	714	478
599	715	476
600	715	475
601	716	473
602	717	472
603	718	471
604	719	469
605	720	468
606	721	466
607	722	465
608	723	464
609	723	462
610	724	461
611	725	459
612	726	458
613	727	457
614	728	455
615	729	454
616	729	453
617	730	451
618	731	450
619	732	449
620	733	447
621	734	446
622	735	445
623	736	443
624	737	442
625	738	441
626	739	439
627	740	438
628	741	437
629	742	435
630	743	434
631	743	433
632	744	431
633	745	430
634	746	429
635	747	427
636	748	426
637	749	425
638	750	423
639	751	422
640	752	421
641	752	419
642	753	418
643	754	417
644	755	415
645	756	414
646	757	413
647	757	411
648	758	410
649	759	409
650	760	407
651	761	406
652	762	405
653	763	403
654	764	402
655	764	401
656	765	399
657	766	398
658	767	397
659	768	395
660	769	394
661	770	393
662	771	391
663	771	390
664	772	389
665	773	387
666	774	386
667	775	385
668	776	384
669	777	382
670	777	381
671	778	380
672	779	378
673	780	377
674	781	376
675	782	375
676	783	373
677	784	372
678	785	371
679	785	369
680	786	368
681	787	367
682	788	365
683	789	364
684	790	363
685	791	362
686	792	360
687	792	359
688	794	358
689	794	357
690	795	355
691	796	354
692	797	353
693	798	352
694	799	350
695	800	349
696	801	348
697	802	347
698	802	345
699	803	344
700	804	343
701	805	341
702	806	340
703	807	339
704	808	338
705	809	336
706	809	335
707	810	334
708	811	333
709	812	331
710	813	330
711	814	329
712	815	328
713	815	326
714	816	325
715	817	324
716	818	323
717	819	321
718	820	320
719	820	319
720	821	318
721	822	316
722	823	315
723	824	314
724	825	313
725	826	311
726	827	310
727	828	309
728	829	308
729	829	306
730	830	305
731	831	304
732	832	303
733	833	302
734	834	300
735	835	299
736	836	298
737	837	297
738	838	296
739	839	294
740	839	293
741	840	292
742	841	291
743	842	289
744	843	288
745	844	287
746	845	286
747	845	285
748	846	283
749	847	282
750	848	281
751	849	280
752	850	279
753	851	277
754	852	276
755	853	275
756	854	274
757	854	272
758	855	271
759	856	270
760	857	269
761	858	268
762	859	266
763	860	265
764	861	264
765	861	263
766	862	262
767	863	260
768	864	259
769	865	258
770	866	257
771	867	256
772	868	255
773	869	253
774	870	252
775	871	251
776	871	250
777	872	249
778	873	247
779	874	246
780	875	245
781	876	244
782	876	243
783	877	241
784	878	240
785	879	239
786	880	238
787	881	237
788	882	235
789	883	234
790	884	233
791	884	232
792	885	231
793	886	230
794	887	228
795	888	227
796	889	226
797	890	225
798	890	224
799	891	222
800	892	221
801	893	220
802	894	219
803	895	218
804	896	217
805	897	216
806	898	214
807	899	213
808	900	212
809	901	211
810	902	210
811	903	209
812	903	207
813	904	206
814	905	205
815	906	204
816	907	203
817	908	202
818	909	201
819	910	199
820	911	198
821	912	197
822	913	196
823	914	195
824	915	194
825	915	192
826	916	191
827	917	190
828	918	189
829	919	188
830	920	187
831	921	186
832	922	184
833	923	183
834	924	182
835	925	181
836	925	180
837	926	179
838	927	177
839	928	176
840	929	175
841	930	174
842	931	173
843	931	172
844	932	171
845	933	169
846	934	168
847	935	167
848	936	166
849	937	165
850	938	164
851	939	163
852	939	161
853	940	160
854	941	159
855	942	158
856	943	157
857	944	156
858	945	155
859	945	153
860	946	152
861	947	151
862	948	150
863	949	149
864	950	148
865	951	147
866	952	146
867	952	144
868	953	143
869	954	142
870	955	141
871	956	140
872	957	139
873	958	138
874	958	136
875	959	135
876	960	134
877	961	133
878	962	132
879	963	131
880	964	130
881	965	129
882	965	127
883	966	126
884	967	125
885	968	124
886	969	123
887	970	122
888	971	121
889	972	120
890	973	119
891	974	117
892	974	116
893	975	115
894	976	114
895	977	113
896	978	112
897	979	111
898	980	110
899	981	109
900	982	107
901	983	106
902	984	105
903	984	104
904	985	103
905	986	102
906	987	101
907	988	100
908	989	99
909	990	97
910	990	96
911	992	95
912	993	94
913	993	93
914	994	92
915	995	91
916	996	90
917	997	89
918	998	87
919	999	86
920	1000	85
921	1000	84
922	1001	83
923	1002	82
924	1003	81
925	1004	80
926	1005	79
927	1006	78
928	1007	76
929	1008	75
930	1009	74
931	1009	73
932	1010	72
933	1011	71
934	1012	70
935	1013	69
936	1014	68
937	1014	67
938	1015	65
939	1016	64
940	1017	63
941	1018	62
942	1019	61
943	1020	60
944	1021	59
945	1022	58
946	1022	57
947	1023	56
948	1024	55
949	1025	53
950	1026	52
951	1027	51
952	1028	50
953	1029	49
